央视卫视,#genre#
CCTV-1综合,http://124.116.183.146:9901/tsfile/live/0001_1.m3u8
CCTV-2财经,http://124.116.183.146:9901/tsfile/live/0002_1.m3u8
CCTV-3综艺,http://124.116.183.146:9901/tsfile/live/0003_1.m3u8
CCTV-4国际,http://124.116.183.146:9901/tsfile/live/0004_1.m3u8
CCTV-5体育,http://124.116.183.146:9901/tsfile/live/0005_1.m3u8
CCTV-5+赛事,http://t.061899.xyz/tl/dq.php?id=cctv5p
CCTV-6电影,http://124.116.183.146:9901/tsfile/live/0006_1.m3u8
CCTV-7国防军事,http://124.116.183.146:9901/tsfile/live/0007_1.m3u8
CCTV-8电视剧,http://124.116.183.146:9901/tsfile/live/0008_1.m3u8
CCTV-9纪录,http://t.061899.xyz/tl/dq.php?id=cctv9
CCTV-10科教,http://124.116.183.146:9901/tsfile/live/0010_1.m3u8
CCTV-11戏曲,http://124.116.183.146:9901/tsfile/live/0011_1.m3u8
CCTV-12社会与法,http://124.116.183.146:9901/tsfile/live/0012_1.m3u8
CCTV-13新闻,http://124.116.183.146:9901/tsfile/live/0013_1.m3u8
CCTV-14少儿,http://124.116.183.146:9901/tsfile/live/0014_1.m3u8
CCTV-15音乐,http://124.116.183.146:9901/tsfile/live/0015_1.m3u8
CCTV-16奥林匹克,http://t.061899.xyz/tl/dq.php?id=cctv16
CCTV-17农业农村,http://t.061899.xyz/tl/dq.php?id=cctv17
北京卫视,http://124.116.183.146:9901/tsfile/live/0122_1.m3u8
天津卫视,http://124.116.183.146:9901/tsfile/live/0135_1.m3u8
浙江卫视,http://124.116.183.146:9901/tsfile/live/0124_1.m3u8
江苏卫视,http://124.116.183.146:9901/tsfile/live/0127_1.m3u8
上海卫视,http://124.116.183.146:9901/tsfile/live/0107_1.m3u8
广东卫视,http://124.116.183.146:9901/tsfile/live/0125_1.m3u8
深圳卫视,http://124.116.183.146:9901/tsfile/live/0126_1.m3u8
湖南卫视,http://124.116.183.146:9901/tsfile/live/0128_1.m3u8
安徽卫视,http://124.116.183.146:9901/tsfile/live/0130_1.m3u8
四川卫视,http://124.116.183.146:9901/tsfile/live/0123_1.m3u8
山东卫视,http://124.116.183.146:9901/tsfile/live/0131_1.m3u8
湖北卫视,http://124.116.183.146:9901/tsfile/live/0132_1.m3u8
陕西卫视,http://124.116.183.146:9901/tsfile/live/0136_1.m3u8
重庆卫视,http://124.116.183.146:9901/tsfile/live/0142_1.m3u8
龙江卫视,http://124.116.183.146:9901/tsfile/live/0143_1.m3u8
东方卫视,http://124.116.183.146:9901/tsfile/live/0107_1.m3u8

农林卫视,http://124.116.183.146:9901/tsfile/live/1004_1.m3u8
卡酷少儿,http://124.116.183.146:9901/tsfile/live/0137_1.m3u8
CGTN,http://124.116.183.146:9901/tsfile/live/0009_1.m3u8

咪咕备用,#genre#
CCTV1,http://t.061899.xyz/tl/dq.php?id=cctv1
CCTV2,http://t.061899.xyz/tl/dq.php?id=cctv2
CCTV3,http://t.061899.xyz/tl/dq.php?id=cctv3
CCTV4,http://t.061899.xyz/tl/dq.php?id=cctv4
CCTV5,http://t.061899.xyz/tl/dq.php?id=cctv5
CCTV5+,http://t.061899.xyz/tl/dq.php?id=cctv5p
CCTV6,http://t.061899.xyz/tl/dq.php?id=cctv6
CCTV7,http://t.061899.xyz/tl/dq.php?id=cctv7
CCTV8,http://t.061899.xyz/tl/dq.php?id=cctv8
CCTV9,http://t.061899.xyz/tl/dq.php?id=cctv9
CCTV10,http://t.061899.xyz/tl/dq.php?id=cctv10
CCTV11,http://t.061899.xyz/tl/dq.php?id=cctv11
CCTV12,http://t.061899.xyz/tl/dq.php?id=cctv12
CCTV13,http://t.061899.xyz/tl/dq.php?id=cctv13
CCTV14,http://t.061899.xyz/tl/dq.php?id=cctv14
CCTV15,http://t.061899.xyz/tl/dq.php?id=cctv15
CCTV16,http://t.061899.xyz/tl/dq.php?id=cctv16
CCTV17,http://t.061899.xyz/tl/dq.php?id=cctv17
CCTV发现之旅,http://t.061899.xyz/tl/dq.php?id=fxzl
CCTV老故事,http://t.061899.xyz/tl/dq.php?id=lgs
CCTV中学生,http://t.061899.xyz/tl/dq.php?id=zxs
CGTN,http://t.061899.xyz/tl/dq.php?id=cgtn
CGTN纪录,http://t.061899.xyz/tl/dq.php?id=cgtnjl
CCTV西班牙语,http://t.061899.xyz/tl/dq.php?id=cgtne
CCTV法语,http://t.061899.xyz/tl/dq.php?id=cgtnf
CCTV阿拉伯语,http://t.061899.xyz/tl/dq.php?id=cgtna
CCTV俄语,http://t.061899.xyz/tl/dq.php?id=cgtnr
湖南卫视,http://t.061899.xyz/tl/dq.php?id=hunws
北京卫视,http://t.061899.xyz/tl/dq.php?id=bjws
浙江卫视,http://t.061899.xyz/tl/dq.php?id=zjws
广东卫视,http://t.061899.xyz/tl/dq.php?id=gdws
江苏卫视,http://t.061899.xyz/tl/dq.php?id=jsws
东方卫视,http://t.061899.xyz/tl/dq.php?id=dfws
陕西卫视,http://t.061899.xyz/tl/dq.php?id=sxws
江西卫视,http://t.061899.xyz/tl/dq.php?id=jxws
湖北卫视,http://t.061899.xyz/tl/dq.php?id=hubws
吉林卫视,http://t.061899.xyz/tl/dq.php?id=jlws
青海卫视,http://t.061899.xyz/tl/dq.php?id=qhws
河南卫视,http://t.061899.xyz/tl/dq.php?id=hnws
东南卫视,http://t.061899.xyz/tl/dq.php?id=dnws
大湾区卫视,http://t.061899.xyz/tl/dq.php?id=dwqws
海南卫视,http://t.061899.xyz/tl/dq.php?id=hinws
重庆卫视,http://t.061899.xyz/tl/dq.php?id=cqws
