北京电信,#genre#
北京卫视,http://115.171.216.22:4000/udp/225.1.8.21:8002
北京文艺,http://115.171.216.22:4000/udp/225.1.8.22:8002
北京科教,http://115.171.216.22:4000/udp/225.1.8.105:8002
北京影视,http://115.171.216.22:4000/udp/225.1.8.82:8000
北京财经,http://115.171.216.22:4000/udp/225.1.8.106:8002
北京冬奥纪实,http://115.171.216.22:4000/udp/225.1.8.23:8002
北京生活,http://115.171.216.22:4000/udp/225.1.8.108:8002
北京青年,http://115.171.216.22:4000/udp/225.1.8.118:8002
北京新闻,http://115.171.216.22:4000/udp/225.1.8.83:8000
北京卡酷少儿,http://115.171.216.22:4000/udp/225.1.8.35:8000
北京冬奥纪实 4K,http://115.171.216.22:4000/udp/225.1.8.120:8002
北京冬奥纪实 4K,http://115.171.216.22:4000/udp/225.1.8.164:8002
房山,http://115.171.216.22:4000/udp/225.1.8.68:8002
朝阳融媒,http://115.171.216.22:4000/udp/225.1.8.69:8002
密云,http://115.171.216.22:4000/udp/225.1.8.75:8002
CCTV1HD,http://115.171.216.22:4000/udp/225.1.8.1:8008
CCTV2HD,http://115.171.216.22:4000/udp/225.1.8.2:8084
CCTV3HD,http://115.171.216.22:4000/udp/225.1.8.88:8000
CCTV4HD,http://115.171.216.22:4000/udp/225.1.8.4:8092
CCTV5HD,http://115.171.216.22:4000/udp/225.1.8.89:8000
CCTV5⁺HD,http://115.171.216.22:4000/udp/225.1.8.20:8004
CCTV6HD,http://115.171.216.22:4000/udp/225.1.8.84:8000
CCTV7HD,http://115.171.216.22:4000/udp/225.1.8.7:8104
CCTV8HD,http://115.171.216.22:4000/udp/225.1.8.85:8000
CCTV9HD,http://115.171.216.22:4000/udp/225.1.8.9:8112
CCTV10HD,http://115.171.216.22:4000/udp/225.1.8.10:8116
CCTV11HD,http://115.171.216.22:4000/udp/225.1.8.73:8120
CCTV12HD,http://115.171.216.22:4000/udp/225.1.8.12:8124
CCTV13HD,http://115.171.216.22:4000/udp/225.1.8.168:8130
CCTV14HD,http://115.171.216.22:4000/udp/225.1.8.14:8132
CCTV15HD,http://115.171.216.22:4000/udp/225.1.8.74:8136
CCTV17HD,http://115.171.216.22:4000/udp/225.1.8.17:8144
CETV1,http://115.171.216.22:4000/udp/225.1.8.32:8152
湖南卫视,http://115.171.216.22:4000/udp/225.1.8.41:8012
黑龙江卫视,http://115.171.216.22:4000/udp/225.1.8.42:8016
深圳卫视,http://115.171.216.22:4000/udp/225.1.8.43:8020
江苏卫视,http://115.171.216.22:4000/udp/225.1.8.44:8028
东方卫视,http://115.171.216.22:4000/udp/225.1.8.45:8032
浙江卫视,http://115.171.216.22:4000/udp/225.1.8.46:8036
湖北卫视,http://115.171.216.22:4000/udp/225.1.8.47:8044
天津卫视,http://115.171.216.22:4000/udp/225.1.8.48:8044
广东卫视,http://115.171.216.22:4000/udp/225.1.8.49:8048
山东卫视,http://115.171.216.22:4000/udp/225.1.8.50:8052
辽宁卫视,http://115.171.216.22:4000/udp/225.1.8.51:8056
安徽卫视,http://115.171.216.22:4000/udp/225.1.8.52:8064
河北卫视,http://115.171.216.22:4000/udp/225.1.8.76:8002
贵州卫视,http://115.171.216.22:4000/udp/225.1.8.77:8076
东南卫视,http://115.171.216.22:4000/udp/225.1.8.79:8148
